File name,Date,category_name,category_value
20240406,2024-04-06,Stéroïdes,0
20240422,2024-04-22,Stéroïdes,0
20240421,2024-04-21,Stéroïdes,0
20240329,2024-03-29,Stéroïdes,0
20240407,2024-04-07,Stéroïdes,0
20240408,2024-04-08,Stéroïdes,0
20240414,2024-04-14,Stéroïdes,0
20240413,2024-04-13,Stéroïdes,0
20240427,2024-04-27,Stéroïdes,0
20240423,2024-04-23,Stéroïdes,0
20240420,2024-04-20,Stéroïdes,0
20240331,2024-03-31,Stéroïdes,0
20240327,2024-03-27,Stéroïdes,0
20240424,2024-04-24,Stéroïdes,0
20240401,2024-04-01,Stéroïdes,0
20240412,2024-04-12,Stéroïdes,0
20240405,2024-04-05,Stéroïdes,0
20240428,2024-04-28,Stéroïdes,0
20240415,2024-04-15,Stéroïdes,0
20240330,2024-03-30,Stéroïdes,0
20240425,2024-04-25,Stimulants,60
20240402,2024-04-02,Stimulants,60
20240412,2024-04-12,Stimulants,60
20240424,2024-04-24,Stimulants,60
20240404,2024-04-04,Stimulants,60
20240407,2024-04-07,Stimulants,60
20240328,2024-03-28,Stimulants,60
20240403,2024-04-03,Stimulants,60
20240409,2024-04-09,Stimulants,60
20240406,2024-04-06,Stimulants,60
20240419,2024-04-19,Stimulants,60
20240417,2024-04-17,Stimulants,60
20240408,2024-04-08,Stimulants,60
20240422,2024-04-22,Stimulants,60
20240418,2024-04-18,Stimulants,60
20240410,2024-04-10,Stimulants,60
20240405,2024-04-05,Stimulants,60
20240416,2024-04-16,Stimulants,60
20240411,2024-04-11,Stimulants,60
20240406,2024-04-06,Stimulants,60
20240422,2024-04-22,Stimulants,60
20240421,2024-04-21,Stimulants,60
20240329,2024-03-29,Stimulants,60
20240407,2024-04-07,Stimulants,60
20240408,2024-04-08,Stimulants,60
20240414,2024-04-14,Stimulants,60
20240413,2024-04-13,Stimulants,60
20240427,2024-04-27,Stimulants,60
20240423,2024-04-23,Stimulants,60
20240420,2024-04-20,Stimulants,60
20240331,2024-03-31,Stimulants,60
20240327,2024-03-27,Stimulants,60
20240424,2024-04-24,Stimulants,60
20240401,2024-04-01,Stimulants,60
20240412,2024-04-12,Stimulants,60
20240405,2024-04-05,Stimulants,60
20240428,2024-04-28,Stimulants,60
20240415,2024-04-15,Stimulants,60
20240330,2024-03-30,Stimulants,60
20240425,2024-04-25,Tabac,7
20240402,2024-04-02,Tabac,7
20240412,2024-04-12,Tabac,7
20240424,2024-04-24,Tabac,7
20240404,2024-04-04,Tabac,7
20240407,2024-04-07,Tabac,7
20240328,2024-03-28,Tabac,7
20240403,2024-04-03,Tabac,7
20240409,2024-04-09,Tabac,7
20240406,2024-04-06,Tabac,7
20240419,2024-04-19,Tabac,7
20240417,2024-04-17,Tabac,7
20240408,2024-04-08,Tabac,7
20240422,2024-04-22,Tabac,7
20240418,2024-04-18,Tabac,7
20240410,2024-04-10,Tabac,7
20240405,2024-04-05,Tabac,7
20240416,2024-04-16,Tabac,7
20240411,2024-04-11,Tabac,7
20240406,2024-04-06,Tabac,7
20240422,2024-04-22,Tabac,7
20240421,2024-04-21,Tabac,7
20240329,2024-03-29,Tabac,7
20240407,2024-04-07,Tabac,7
20240408,2024-04-08,Tabac,7
20240414,2024-04-14,Tabac,7
20240413,2024-04-13,Tabac,7
20240427,2024-04-27,Tabac,7
20240423,2024-04-23,Tabac,7
20240420,2024-04-20,Tabac,7
20240331,2024-03-31,Tabac,7
20240327,2024-03-27,Tabac,7
20240424,2024-04-24,Tabac,7
20240401,2024-04-01,Tabac,7
20240412,2024-04-12,Tabac,7
20240405,2024-04-05,Tabac,7
20240428,2024-04-28,Tabac,7
20240415,2024-04-15,Tabac,7
20240330,2024-03-30,Tabac,7
20240425,2024-04-25,Other,0
20240402,2024-04-02,Other,0
20240412,2024-04-12,Other,0
20240424,2024-04-24,Other,0
20240404,2024-04-04,Other,0
20240407,2024-04-07,Other,0
20240328,2024-03-28,Other,0
20240403,2024-04-03,Other,0
20240409,2024-04-09,Other,0
20240406,2024-04-06,Other,0
20240419,2024-04-19,Other,0
20240417,2024-04-17,Other,0
20240408,2024-04-08,Other,0
20240422,2024-04-22,Other,0
20240418,2024-04-18,Other,0
20240410,2024-04-10,Other,0
20240405,2024-04-05,Other,0
20240416,2024-04-16,Other,0
20240411,2024-04-11,Other,0
20240406,2024-04-06,Other,0
20240422,2024-04-22,Other,0
20240421,2024-04-21,Other,0
20240329,2024-03-29,Other,0
20240407,2024-04-07,Other,0
20240408,2024-04-08,Other,0
20240414,2024-04-14,Other,0
20240413,2024-04-13,Other,0
20240427,2024-04-27,Other,0
20240423,2024-04-23,Other,0
20240420,2024-04-20,Other,0
20240331,2024-03-31,Other,0
20240327,2024-03-27,Other,0
20240424,2024-04-24,Other,0
20240401,2024-04-01,Other,0
20240412,2024-04-12,Other,0
20240405,2024-04-05,Other,0
20240428,2024-04-28,Other,0
20240415,2024-04-15,Other,0
20240330,2024-03-30,Other,0
